run_id,task,profile,step_id,command,status,exit_code,duration_seconds,known_blocker_id,stdout_log,stderr_log,result_path
20260505T082950Z-a63916dc,review-bundle-bootstrap,local-fast,atlas-check,python3 scripts/anigma_context_query.py --check,passed,0,0.222,,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082950Z-a63916dc/logs/atlas-check.stdout.log,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082950Z-a63916dc/logs/atlas-check.stderr.log,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082950Z-a63916dc/step-results/atlas-check.json
20260505T082950Z-a63916dc,review-bundle-bootstrap,local-fast,git-hygiene-status,python3 scripts/anigma_git_hygiene.py status,passed,0,0.531,,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082950Z-a63916dc/logs/git-hygiene-status.stdout.log,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082950Z-a63916dc/logs/git-hygiene-status.stderr.log,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082950Z-a63916dc/step-results/git-hygiene-status.json
20260505T082950Z-a63916dc,review-bundle-bootstrap,local-fast,py-compile,python3 -m py_compile scripts/anigma_pipeline.py scripts/anigma_validate_scope.py scripts/anigma_result_contract.py scripts/anigma_common/*.py,passed,0,0.071,,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082950Z-a63916dc/logs/py-compile.stdout.log,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082950Z-a63916dc/logs/py-compile.stderr.log,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082950Z-a63916dc/step-results/py-compile.json
20260505T082950Z-a63916dc,review-bundle-bootstrap,local-fast,task-brief-tests,python3 scripts/test_task_brief_generator.py,passed,0,0.45,,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082950Z-a63916dc/logs/task-brief-tests.stdout.log,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082950Z-a63916dc/logs/task-brief-tests.stderr.log,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082950Z-a63916dc/step-results/task-brief-tests.json
20260505T082953Z-9d819360,td-cleanup-004,daemon-runtime,atlas-build,python3 scripts/anigma_build_repo_atlas.py,passed,0,8.387,,.build/anigma-pipeline/runs/td-cleanup-004/20260505T082953Z-9d819360/logs/atlas-build.stdout.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T082953Z-9d819360/logs/atlas-build.stderr.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T082953Z-9d819360/step-results/atlas-build.json
20260505T082953Z-9d819360,td-cleanup-004,daemon-runtime,context-query,python3 scripts/anigma_context_query.py --risk daemon_ipc_binding --target AnigmaDaemonCore --limit 10,passed,0,0.375,,.build/anigma-pipeline/runs/td-cleanup-004/20260505T082953Z-9d819360/logs/context-query.stdout.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T082953Z-9d819360/logs/context-query.stderr.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T082953Z-9d819360/step-results/context-query.json
20260505T082953Z-9d819360,td-cleanup-004,daemon-runtime,executable-advisory,python3 scripts/anigma_executable_consolidation_audit.py --mode advisory --focus anigmad --json-out .build/anigma-executable-consolidation-audit.json,passed,0,1.42,,.build/anigma-pipeline/runs/td-cleanup-004/20260505T082953Z-9d819360/logs/executable-advisory.stdout.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T082953Z-9d819360/logs/executable-advisory.stderr.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T082953Z-9d819360/step-results/executable-advisory.json
20260505T082953Z-c826d81e,pipeline-bootstrap,test,noop,"python3 -c 'print(""hello"")'",passed,0,0.043,,.build/anigma-pipeline/runs/pipeline-bootstrap/20260505T082953Z-c826d81e/logs/noop.stdout.log,.build/anigma-pipeline/runs/pipeline-bootstrap/20260505T082953Z-c826d81e/logs/noop.stderr.log,.build/anigma-pipeline/runs/pipeline-bootstrap/20260505T082953Z-c826d81e/step-results/noop.json
20260505T083004Z-dd4b3491,td-cleanup-004,daemon-runtime,atlas-build,python3 scripts/anigma_build_repo_atlas.py,passed,0,8.616,,.build/anigma-pipeline/runs/td-cleanup-004/20260505T083004Z-dd4b3491/logs/atlas-build.stdout.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T083004Z-dd4b3491/logs/atlas-build.stderr.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T083004Z-dd4b3491/step-results/atlas-build.json
20260505T083004Z-dd4b3491,td-cleanup-004,daemon-runtime,context-query,python3 scripts/anigma_context_query.py --risk daemon_ipc_binding --target AnigmaDaemonCore --limit 10,passed,0,0.585,,.build/anigma-pipeline/runs/td-cleanup-004/20260505T083004Z-dd4b3491/logs/context-query.stdout.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T083004Z-dd4b3491/logs/context-query.stderr.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T083004Z-dd4b3491/step-results/context-query.json
20260505T083004Z-dd4b3491,td-cleanup-004,daemon-runtime,executable-advisory,python3 scripts/anigma_executable_consolidation_audit.py --mode advisory --focus anigmad --json-out .build/anigma-executable-consolidation-audit.json,passed,0,1.519,,.build/anigma-pipeline/runs/td-cleanup-004/20260505T083004Z-dd4b3491/logs/executable-advisory.stdout.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T083004Z-dd4b3491/logs/executable-advisory.stderr.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T083004Z-dd4b3491/step-results/executable-advisory.json
20260505T083408Z-f00a13dd,td-cleanup-004,cleanup-review,atlas-build,python3 scripts/anigma_build_repo_atlas.py,passed,0,12.091,,.build/anigma-pipeline/runs/td-cleanup-004/20260505T083408Z-f00a13dd/logs/atlas-build.stdout.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T083408Z-f00a13dd/logs/atlas-build.stderr.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T083408Z-f00a13dd/step-results/atlas-build.json
20260505T083408Z-f00a13dd,td-cleanup-004,cleanup-review,atlas-check,python3 scripts/anigma_context_query.py --check,passed,0,0.195,,.build/anigma-pipeline/runs/td-cleanup-004/20260505T083408Z-f00a13dd/logs/atlas-check.stdout.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T083408Z-f00a13dd/logs/atlas-check.stderr.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T083408Z-f00a13dd/step-results/atlas-check.json
20260505T083408Z-f00a13dd,td-cleanup-004,cleanup-review,dead-code-gate,python3 scripts/anigma_dead_code_audit.py --mode gate --baseline Docs/baselines/dead-code-baseline.json,passed,0,15.755,,.build/anigma-pipeline/runs/td-cleanup-004/20260505T083408Z-f00a13dd/logs/dead-code-gate.stdout.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T083408Z-f00a13dd/logs/dead-code-gate.stderr.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T083408Z-f00a13dd/step-results/dead-code-gate.json
20260505T083408Z-f00a13dd,td-cleanup-004,cleanup-review,executable-gate,python3 scripts/anigma_executable_consolidation_audit.py --mode gate --baseline Docs/baselines/executable-consolidation-baseline.json --focus anigmad,passed,0,1.413,,.build/anigma-pipeline/runs/td-cleanup-004/20260505T083408Z-f00a13dd/logs/executable-gate.stdout.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T083408Z-f00a13dd/logs/executable-gate.stderr.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T083408Z-f00a13dd/step-results/executable-gate.json
20260505T083408Z-f00a13dd,td-cleanup-004,cleanup-review,scope-check,python3 scripts/anigma_validate_scope.py --task td-cleanup-004 --allowed-path scripts --allowed-path Docs --allow-empty,failed,1,0.175,,.build/anigma-pipeline/runs/td-cleanup-004/20260505T083408Z-f00a13dd/logs/scope-check.stdout.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T083408Z-f00a13dd/logs/scope-check.stderr.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T083408Z-f00a13dd/step-results/scope-check.json
20260505T083632Z-b7ad08f9,td-cleanup-004,cleanup-review,atlas-build,python3 scripts/anigma_build_repo_atlas.py,passed,0,12.549,,.build/anigma-pipeline/runs/td-cleanup-004/20260505T083632Z-b7ad08f9/logs/atlas-build.stdout.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T083632Z-b7ad08f9/logs/atlas-build.stderr.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T083632Z-b7ad08f9/step-results/atlas-build.json
